id,lat,lon,category,value_a,value_b
1,39.44382,-94.0706,cat_11,570.979,47.0582
2,32.31973,-88.17731,cat_11,921.7265,24.2514
3,31.69083,-67.44967,cat_06,761.5363,59.3726
4,34.63719,-88.15854,cat_02,505.393,39.21
5,40.70305,-73.47679,cat_12,801.6125,56.8522
6,44.81266,-90.52151,cat_14,246.3806,28.9405
7,28.28044,-75.59292,cat_19,457.1576,49.0634
8,25.68251,-94.52428,cat_19,969.7781,60.0045
9,43.33763,-120.81021,cat_19,53.8321,59.8737
10,26.61476,-113.59866,cat_18,314.2829,51.0675
11,43.88519,-89.57399,cat_13,572.1089,50.6101
12,48.46639,-82.86059,cat_09,848.4298,54.5541
13,29.34126,-68.48126,cat_16,526.7138,58.7836
14,42.6591,-84.18892,cat_18,455.1855,70.2933
15,46.46974,-78.31064,cat_15,542.3272,30.253
16,42.36751,-78.69315,cat_08,261.7794,21.254
17,41.71891,-70.02542,cat_05,316.0448,64.2194
18,37.51077,-110.32321,cat_01,554.5353,57.635
19,34.67639,-89.82922,cat_01,429.9446,49.5115
20,39.84801,-104.85658,cat_02,208.4165,41.2908
21,40.42906,-87.66285,cat_08,717.3776,56.199
22,39.3293,-92.93636,cat_05,221.4438,66.105
23,48.78385,-105.64245,cat_19,194.5322,51.6783
24,34.43819,-115.77262,cat_15,621.9759,29.0612
25,39.72942,-122.71632,cat_17,599.9462,41.894
26,47.5744,-93.325,cat_12,873.9965,40.0361
27,29.62737,-107.29388,cat_14,580.1385,64.3323
28,39.59164,-109.0133,cat_07,385.4221,46.8614
29,41.70894,-98.27515,cat_00,342.4983,56.529
30,37.17902,-90.53674,cat_12,996.4808,39.8899
31,24.92865,-70.29158,cat_18,378.7849,45.2845
32,30.07564,-121.96935,cat_06,355.6552,44.3369
33,32.20979,-108.94754,cat_03,680.7128,45.9876
34,43.25818,-86.04744,cat_01,641.1045,42.3592
35,36.40665,-124.08106,cat_04,465.9113,76.6854
36,42.32306,-96.64271,cat_14,735.1899,64.7432
37,24.5214,-79.13791,cat_05,237.0484,50.7495
38,39.81561,-99.44195,cat_12,673.229,54.3463
39,42.80855,-123.54666,cat_13,353.0732,32.0249
40,26.02941,-124.11007,cat_09,630.2129,30.8018
41,45.47211,-115.89847,cat_06,106.5405,61.5897
42,34.11711,-90.45241,cat_01,430.6286,68.1268
43,41.01426,-100.88937,cat_17,461.6683,49.7993
44,25.69085,-87.33013,cat_04,360.9046,44.1267
45,38.50745,-123.39385,cat_07,59.1969,42.9492
46,40.30095,-101.90146,cat_08,522.0589,47.6988
47,46.91479,-115.95675,cat_00,845.4286,35.1373
48,24.96681,-86.47533,cat_00,756.0864,58.8754
49,25.41432,-80.95089,cat_01,820.1835,38.713
50,34.54305,-97.55748,cat_00,496.7369,61.4173
51,40.86678,-114.3421,cat_02,425.0572,66.1384
52,37.07468,-78.12843,cat_13,222.0672,59.9779
53,39.07411,-120.33503,cat_07,501.4547,35.4434
54,47.75473,-93.293,cat_09,104.2948,56.1021
55,47.10992,-106.3587,cat_01,996.7765,60.2882
56,48.89313,-123.56654,cat_11,584.4881,40.011
57,32.26432,-84.47903,cat_03,895.7659,86.1579
58,34.0545,-94.3401,cat_01,800.8724,56.2549
59,24.00304,-87.64722,cat_19,969.9309,48.8721
60,32.03433,-94.62704,cat_14,561.5086,43.8826
61,47.91098,-119.80849,cat_18,673.5333,53.3896
62,24.80757,-116.52321,cat_07,802.2257,25.4175
63,34.21831,-117.1218,cat_08,386.4225,42.3196
64,29.39634,-77.191,cat_15,268.7258,62.3022
65,37.52476,-120.02494,cat_08,484.368,54.1799
66,29.11986,-72.82021,cat_05,151.8909,55.8508
67,40.5171,-121.77484,cat_11,123.6562,51.6962
68,36.87997,-88.95461,cat_18,923.1158,55.1363
69,42.26256,-101.58701,cat_06,812.0183,47.0542
70,29.41405,-84.31755,cat_01,724.0478,36.129
71,30.06075,-107.82965,cat_10,286.36,73.635
72,30.36479,-106.40528,cat_02,642.2483,26.5249
73,37.52557,-90.84324,cat_17,275.4907,72.1393
74,25.24775,-116.89006,cat_15,886.5507,27.97
75,40.08542,-92.11873,cat_05,601.3507,71.6797
76,34.9991,-91.1012,cat_17,383.619,46.3079
77,31.75933,-78.93552,cat_15,676.2563,35.8423
78,48.79938,-90.66314,cat_12,378.5668,36.8955
79,33.70337,-120.57782,cat_10,129.2583,42.5917
80,37.09229,-118.85228,cat_19,185.6933,40.6654
81,32.70049,-101.05208,cat_16,121.4739,58.5218
82,48.27512,-104.87823,cat_13,551.064,62.1613
83,43.40054,-107.42904,cat_12,726.2725,38.1725
84,24.7636,-121.3768,cat_18,234.407,38.3573
85,27.83105,-84.38133,cat_00,735.2752,54.7817
86,39.53375,-122.34189,cat_16,615.3608,48.3298
87,38.30963,-74.35214,cat_04,616.7551,43.0217
88,41.76926,-70.61307,cat_09,965.1169,60.4961
89,33.87544,-80.85043,cat_05,31.6932,27.3059
90,46.75844,-99.6454,cat_12,229.3071,30.192
91,43.09703,-120.82453,cat_00,706.4783,34.8628
92,42.77071,-90.8776,cat_08,451.1992,48.3139
93,25.74204,-93.94449,cat_08,313.5657,62.1226
94,29.56353,-97.31022,cat_03,349.8731,52.1205
95,43.14478,-79.80525,cat_16,618.0885,39.3077
96,34.96176,-94.76224,cat_00,943.2789,44.0877
97,42.22894,-86.00708,cat_12,597.1693,25.004
98,39.66734,-78.22799,cat_15,636.5881,36.2483
99,37.5708,-97.19643,cat_08,297.4875,58.75
100,45.49399,-75.92779,cat_17,465.6067,64.4887
101,48.98776,-94.42134,cat_13,31.4901,46.1352
102,48.24866,-102.37739,cat_03,846.7461,56.0929
103,43.32872,-70.70948,cat_07,368.788,57.8648
104,29.47078,-105.78321,cat_15,311.6928,64.2054
105,39.73437,-92.53799,cat_03,214.0381,46.6288
106,36.64285,-99.71437,cat_13,681.4914,39.6868
107,44.75537,-119.4698,cat_01,808.3262,56.9163
108,42.22121,-104.22493,cat_15,521.9645,58.2349
109,25.26111,-121.07603,cat_16,325.0614,36.3608
110,37.45097,-69.75065,cat_08,312.6852,49.9205
111,44.75856,-98.42495,cat_03,443.1441,53.2416
112,47.72689,-67.28471,cat_08,736.5914,52.8382
113,26.12026,-86.18481,cat_07,149.3531,55.0297
114,27.51282,-83.16915,cat_08,754.4954,45.4735
115,28.19759,-109.53798,cat_16,408.8525,35.6403
116,46.34429,-74.48082,cat_08,498.3218,56.8258
117,41.18848,-77.6494,cat_12,117.3419,7.5571
118,30.44274,-77.49032,cat_10,506.308,33.884
119,32.30264,-67.43563,cat_14,129.1169,49.5902
120,40.23892,-92.12876,cat_16,286.8949,33.8841
121,43.67586,-87.89306,cat_19,314.0743,50.2364
122,39.40937,-81.06931,cat_09,771.4413,38.1745
123,43.67611,-75.31843,cat_08,378.8573,41.071
124,39.80635,-110.97333,cat_10,535.077,46.4996
125,24.38491,-103.45689,cat_07,860.8408,41.4124
126,39.63745,-91.04597,cat_07,127.4689,39.5487
127,29.74345,-104.31705,cat_06,143.7997,44.1262
128,36.00956,-101.50152,cat_01,257.0091,68.2686
129,31.39566,-106.02087,cat_05,517.6308,53.9989
130,41.91397,-88.54081,cat_02,916.8108,18.9296
131,40.00884,-112.8611,cat_15,190.1428,79.4196
132,33.32739,-115.06733,cat_06,245.6887,49.8235
133,47.49807,-94.01852,cat_05,575.7093,53.426
134,26.90658,-107.31699,cat_18,288.5242,36.9166
135,44.98455,-98.51937,cat_15,418.7408,57.1629
136,42.57819,-97.52885,cat_19,426.7805,28.7064
137,24.58009,-69.99674,cat_13,788.7019,48.1864
138,39.84382,-96.19382,cat_08,100.0649,36.3022
139,32.56526,-105.03302,cat_07,452.6995,55.3478
140,37.17716,-119.48895,cat_03,623.4631,45.1788
141,35.9033,-80.18939,cat_14,862.9122,50.6851
142,44.01468,-120.00014,cat_15,226.3968,76.3801
143,43.85635,-123.19104,cat_04,97.2993,56.1995
144,36.91408,-88.63677,cat_16,895.0505,70.4335
145,44.58693,-116.71149,cat_05,970.8867,75.412
146,37.30365,-106.91658,cat_02,922.7215,52.0728
147,34.87503,-104.63427,cat_17,409.9366,40.3156
148,28.9194,-82.87792,cat_05,233.1957,66.3155
149,37.51185,-94.08548,cat_13,971.161,57.4137
150,27.93209,-74.1884,cat_06,244.471,47.1896
151,42.48183,-112.6492,cat_12,112.3108,14.0517
152,29.59085,-106.71064,cat_11,303.4401,35.9958
153,43.79828,-77.06197,cat_10,809.311,68.1815
154,47.9064,-83.64828,cat_02,637.9778,28.0547
155,39.92462,-95.32288,cat_03,992.0325,26.1755
156,42.20108,-88.72196,cat_17,455.973,40.2457
157,41.71126,-124.4525,cat_00,217.2219,44.5441
158,41.65167,-67.32473,cat_00,478.1388,62.5966
159,29.48887,-110.49018,cat_04,300.4678,54.0213
160,30.56731,-96.25227,cat_00,891.84,42.6911
161,26.23805,-79.55225,cat_04,794.722,64.5001
162,29.75393,-115.54464,cat_08,817.4371,51.3729
163,46.49636,-85.31146,cat_07,274.8424,31.3703
164,45.96916,-109.34084,cat_15,707.5897,50.8685
165,47.4272,-73.71184,cat_15,28.9543,37.0118
166,31.9884,-119.39266,cat_09,653.1301,40.4872
167,25.82096,-82.8949,cat_14,271.9148,41.7411
168,24.99842,-73.79072,cat_16,989.4389,41.2465
169,29.05067,-76.38527,cat_03,245.9787,38.6079
170,47.36168,-105.67738,cat_06,442.8714,47.3856
171,46.91537,-77.80071,cat_04,80.3769,62.7654
172,25.35559,-94.11525,cat_02,802.0704,59.6718
173,36.52103,-72.30771,cat_13,59.1627,37.1786
174,29.64441,-100.16492,cat_16,259.0304,42.4727
175,37.39673,-106.5135,cat_14,39.2293,46.8582
176,38.83565,-106.37318,cat_19,226.2702,32.2939
177,48.56645,-93.30621,cat_03,587.2003,64.9689
178,44.0155,-103.2268,cat_10,561.2323,78.1335
179,36.72792,-118.28552,cat_07,671.9712,65.2303
180,34.64646,-89.90295,cat_09,379.8058,45.2283
181,28.58722,-75.02971,cat_10,598.4709,58.9318
182,43.84824,-112.65358,cat_06,340.1163,61.2746
183,40.05101,-106.66764,cat_17,937.2203,44.8433
184,48.05086,-71.51982,cat_07,204.1384,52.4021
185,37.89509,-114.49338,cat_08,213.7287,56.7713
186,47.90836,-67.27226,cat_06,415.2685,41.8361
187,43.04757,-99.83403,cat_14,634.2452,21.402
188,24.5777,-90.07493,cat_08,649.4929,57.2922
189,46.83316,-117.63616,cat_08,237.5022,66.9404
190,27.17554,-94.81927,cat_18,312.7408,13.4161
191,31.39022,-89.83559,cat_09,493.2758,58.8133
192,32.81501,-109.69766,cat_19,649.9397,24.8129
193,48.10653,-89.57129,cat_11,505.4002,60.5892
194,41.68938,-89.59244,cat_12,144.7058,31.9674
195,37.80424,-72.62765,cat_07,106.9616,51.8766
196,38.44705,-100.50154,cat_11,979.9904,77.2439
197,48.0184,-82.42872,cat_09,14.7328,46.6894
198,35.73796,-104.55027,cat_07,66.9768,38.7396
199,42.40729,-78.5752,cat_09,148.618,44.986
200,39.83997,-119.77703,cat_17,78.8016,38.5739
201,25.29221,-113.7207,cat_13,943.1646,86.7236
202,33.85774,-95.2621,cat_12,836.0279,79.1732
203,27.29237,-123.02739,cat_05,680.4785,63.437
204,29.37159,-86.01568,cat_14,291.4798,53.8072
205,37.63548,-94.52838,cat_16,664.3204,58.2701
206,37.93264,-67.27206,cat_10,770.3656,63.0381
207,35.91748,-97.68518,cat_05,855.5612,43.1515
208,38.56369,-106.38861,cat_00,274.994,29.0096
209,47.98706,-79.13374,cat_09,414.8013,58.1361
210,34.67653,-91.37547,cat_02,790.6154,55.9137
211,43.66944,-78.28302,cat_16,744.564,57.3
212,34.97747,-101.73079,cat_05,405.0878,30.2751
213,47.45722,-72.56907,cat_01,794.6375,94.676
214,25.07466,-117.74593,cat_06,758.2186,51.1119
215,24.13605,-96.21915,cat_09,342.3235,33.8718
216,45.8514,-116.59958,cat_04,15.7418,37.0793
217,44.58864,-115.65369,cat_16,613.6821,43.5182
218,29.71746,-110.932,cat_13,62.7322,50.4113
219,40.46988,-103.23713,cat_06,193.0817,71.3754
220,24.15003,-80.546,cat_05,638.2498,76.9198
