obs_id,obs_ts,lat,lon,geom_wkt,metric,category
OBS-00001,2024-10-25T07:45:49+01:00,36.79766,-85.61432,POINT(-85.61432 36.79766),30.6755,charlie
OBS-00002,2024-05-06T14:10:42+00:00,37.32369,-67.44196,POINT(-67.44196 37.32369),52.4489,echo
OBS-00003,2024-12-24T13:05:50-08:00,43.62403,-104.715,POINT(-104.715 43.62403),38.3393,delta
OBS-00004,2024-11-18T03:26:19-06:00,27.64573,-113.6636,POINT(-113.6636 27.64573),41.6618,echo
OBS-00005,2024-01-19T15:29:08+01:00,42.74457,-79.92127,POINT(-79.92127 42.74457),76.4067,bravo
OBS-00006,2024-08-18T14:18:33-07:00,26.13545,-80.29074,POINT(-80.29074 26.13545),89.4742,delta
OBS-00007,2024-05-15T02:42:56-06:00,46.73927,-96.55427,POINT(-96.55427 46.73927),28.5778,bravo
OBS-00008,2024-05-17T16:18:46-06:00,33.6294,-117.67675,POINT(-117.67675 33.6294),93.7901,alpha
OBS-00009,2024-04-02T16:56:55-07:00,32.02491,-123.23526,POINT(-123.23526 32.02491),23.431,bravo
OBS-00010,2024-10-14T00:58:10-07:00,31.40792,-120.13592,POINT(-120.13592 31.40792),44.2914,echo
OBS-00011,2024-06-19T03:21:13-07:00,30.61984,-110.44728,POINT(-110.44728 30.61984),15.8031,alpha
OBS-00012,2024-02-01T16:15:30-04:00,43.00945,-92.63038,POINT(-92.63038 43.00945),20.7593,delta
OBS-00013,2024-12-06T11:18:54-04:00,28.93271,-114.97618,POINT(-114.97618 28.93271),46.2711,alpha
OBS-00014,2024-10-16T20:13:04-05:00,37.5636,-77.04221,POINT(-77.04221 37.5636),66.5278,bravo
OBS-00015,2024-10-13T13:03:07+00:00,40.825,-106.33001,POINT(-106.33001 40.825),38.2096,alpha
OBS-00016,2024-04-02T03:31:45-07:00,38.23991,-104.49688,POINT(-104.49688 38.23991),5.5167,charlie
OBS-00017,2024-04-10T05:38:04-06:00,47.62854,-67.67691,POINT(-67.67691 47.62854),74.7417,echo
