unique_key,created_date,complaint_type,borough,latitude,longitude
1001,2024-01-03,Noise,Brooklyn,40.6782,-73.9442
1002,2024-01-07,Illegal Parking,Brooklyn,40.6501,-73.9496
1003,2024-01-12,Heat/Hot Water,Brooklyn,40.6890,-73.9857
1004,2024-01-18,Pothole,Brooklyn,40.6601,-73.9600
1005,2024-01-24,Street Light,Brooklyn,40.6745,-73.9365
1006,2024-02-02,Noise,Brooklyn,40.6820,-73.9502
1007,2024-02-09,Illegal Parking,Brooklyn,40.6560,-73.9480
1008,2024-02-15,Heat/Hot Water,Brooklyn,40.6700,-73.9800
1009,2024-02-22,Pothole,Brooklyn,40.6640,-73.9550
1010,2024-03-01,Street Light,Brooklyn,40.6750,-73.9420
1011,2024-03-08,Noise,Brooklyn,40.6730,-73.9460
1012,2024-03-15,Illegal Parking,Brooklyn,40.6550,-73.9510
1013,2024-04-02,Heat/Hot Water,Brooklyn,40.6810,-73.9780
1014,2024-04-10,Pothole,Brooklyn,40.6590,-73.9570
1015,2024-05-05,Noise,Brooklyn,40.6870,-73.9390
1016,2024-01-05,Illegal Parking,Manhattan,40.7831,-73.9712
1017,2024-01-14,Heat/Hot Water,Manhattan,40.7580,-73.9855
1018,2024-01-20,Pothole,Manhattan,40.7282,-73.9942
1019,2024-01-28,Street Light,Manhattan,40.7688,-73.9817
1020,2024-02-05,Noise,Manhattan,40.7900,-73.9650
1021,2024-02-14,Illegal Parking,Manhattan,40.7450,-73.9900
1022,2024-02-20,Heat/Hot Water,Manhattan,40.7600,-73.9800
1023,2024-03-05,Pothole,Manhattan,40.7300,-73.9950
1024,2024-03-14,Street Light,Manhattan,40.7750,-73.9780
1025,2024-04-03,Noise,Manhattan,40.7820,-73.9700
1026,2024-04-18,Illegal Parking,Manhattan,40.7500,-73.9870
1027,2024-05-10,Heat/Hot Water,Manhattan,40.7620,-73.9820
1028,2024-01-08,Pothole,Queens,40.7282,-73.7949
1029,2024-01-16,Street Light,Queens,40.7500,-73.8200
1030,2024-01-25,Noise,Queens,40.7100,-73.8300
1031,2024-02-06,Illegal Parking,Queens,40.7350,-73.8100
1032,2024-02-18,Heat/Hot Water,Queens,40.7200,-73.8000
1033,2024-03-09,Pothole,Queens,40.7400,-73.8250
1034,2024-03-20,Street Light,Queens,40.7050,-73.8350
1035,2024-04-07,Noise,Queens,40.7310,-73.8150
1036,2024-04-25,Illegal Parking,Queens,40.7180,-73.8050
1037,2024-05-15,Heat/Hot Water,Queens,40.7420,-73.8200
1038,2024-01-10,Pothole,Bronx,40.8448,-73.8648
1039,2024-01-19,Street Light,Bronx,40.8600,-73.8800
1040,2024-02-08,Noise,Bronx,40.8300,-73.9000
1041,2024-02-25,Illegal Parking,Bronx,40.8500,-73.8700
1042,2024-03-12,Heat/Hot Water,Bronx,40.8200,-73.8900
1043,2024-03-28,Pothole,Bronx,40.8650,-73.8750
1044,2024-04-15,Street Light,Bronx,40.8350,-73.8950
1045,2024-05-01,Noise,Bronx,40.8480,-73.8680
1046,2024-01-22,Illegal Parking,Staten Island,40.5795,-74.1502
1047,2024-02-12,Heat/Hot Water,Staten Island,40.6000,-74.1600
1048,2024-03-03,Pothole,Staten Island,40.5600,-74.1400
1049,2024-04-20,Street Light,Staten Island,40.6100,-74.1700
1050,2024-05-18,Noise,Staten Island,40.5800,-74.1550
