Address,First attempt,date,Second attempt,,Other notes:
100 Maple Avenue,completed survey #0,2026-01-10,follow-up: completed #0,,"unit 0, side entrance"
137 Oak Drive,completed survey #1,,,,
174 Cedar Place,completed survey #2,,,,
211 Pine Street,completed survey #3,,,,
248 Elm Lane,completed survey #4,,,,
285 Birch Way,"gave QR code, will complete online #5",,,,
322 Walnut Boulevard,"refused, not interested #6",2026-07-16,,,
359 Ash Road,"refused, not interested #7",,,,
396 Willow Court,"gated, inaccessible #8",,,,
433 Chestnut Terrace,vacant property #9,,,,"unit 9, side entrance"
470 Poplar Avenue,"no answer, left flier #10",,,,
507 Juniper Drive,"no answer, left flier #11",,follow-up: completed #11,,
544 Sycamore Place,"not home, no response #12",2026-04-22,,,
581 Magnolia Street,,,,,
618 Hickory Lane,completed survey #14,,,,
655 Maple Way,completed survey #15,,,,
692 Oak Boulevard,completed survey #16,,,,
729 Cedar Road,completed survey #17,,,,
766 Pine Court,completed survey #18,2026-01-10,,,"unit 18, side entrance"
803 Elm Terrace,"gave QR code, will complete online #19",,,,
840 Birch Avenue,"refused, not interested #20",,,,
877 Walnut Drive,"refused, not interested #21",,,,
914 Ash Place,"gated, inaccessible #22",,follow-up: completed #22,,
951 Willow Street,vacant property #23,,,,
988 Chestnut Lane,"no answer, left flier #24",2026-07-16,,,
1025 Poplar Way,"no answer, left flier #25",,,,
1062 Juniper Boulevard,"not home, no response #26",,,,
1099 Sycamore Road,"not home, no response #27",,,,"unit 27, side entrance"
1136 Magnolia Court,callback scheduled #28,,,,
1173 Hickory Terrace,completed survey #29,,,,
1210 Maple Avenue,completed survey #30,2026-04-22,,,
1247 Oak Drive,completed survey #31,,,,
1284 Cedar Place,completed survey #32,,,,
1321 Pine Street,"gave QR code, will complete online #33",,follow-up: completed #33,,
1358 Elm Lane,"gave QR code, will complete online #34",,,,
1395 Birch Way,"refused, not interested #35",,,,
1432 Walnut Boulevard,"gated, inaccessible #36",2026-01-10,,,"unit 36, side entrance"
1469 Ash Road,vacant property #37,,,,
1506 Willow Court,"no answer, left flier #38",,,,
1543 Chestnut Terrace,"no answer, left flier #39",,,,
1580 Poplar Avenue,"not home, no response #40",,,,
1617 Juniper Drive,"not home, no response #41",,,,
1654 Sycamore Place,callback scheduled #42,2026-07-16,,,
1691 Magnolia Street,completed survey #43,,,,
1728 Hickory Lane,completed survey #44,,follow-up: completed #44,,
1765 Maple Way,completed survey #45,,,,"unit 5, side entrance"
1802 Oak Boulevard,completed survey #46,,,,
1839 Cedar Road,completed survey #47,,,,
1876 Pine Court,"gave QR code, will complete online #48",2026-04-22,,,
1913 Elm Terrace,"refused, not interested #49",,,,
1950 Birch Avenue,"refused, not interested #50",,,,
1987 Walnut Drive,"gated, inaccessible #51",,,,
2024 Ash Place,"no answer, left flier #52",,,,
2061 Willow Street,"no answer, left flier #53",,,,
2098 Chestnut Lane,"no answer, left flier #54",2026-01-10,,,"unit 14, side entrance"
2135 Poplar Way,"not home, no response #55",,follow-up: completed #55,,
2172 Juniper Boulevard,,,,,
2209 Sycamore Road,completed survey #57,,,,
2246 Magnolia Court,completed survey #58,,,,
2283 Hickory Terrace,completed survey #59,,,,
2320 Maple Avenue,completed survey #60,2026-07-16,,,
2357 Oak Drive,completed survey #61,,,,
2394 Cedar Place,"gave QR code, will complete online #62",,,,
2431 Pine Street,"refused, not interested #63",,,,"unit 23, side entrance"
2468 Elm Lane,"refused, not interested #64",,,,
2505 Birch Way,"gated, inaccessible #65",,,,
2542 Walnut Boulevard,vacant property #66,2026-04-22,follow-up: completed #66,,
2579 Ash Road,"no answer, left flier #67",,,,
2616 Willow Court,"no answer, left flier #68",,,,
2653 Chestnut Terrace,"not home, no response #69",,,,
2690 Poplar Avenue,,,,,
2727 Juniper Drive,completed survey #71,,,,
2764 Sycamore Place,completed survey #72,2026-01-10,,,"unit 32, side entrance"
2801 Magnolia Street,completed survey #73,,,,
2838 Hickory Lane,completed survey #74,,,,
2875 Maple Way,completed survey #75,,,,
2912 Oak Boulevard,"gave QR code, will complete online #76",,,,
2949 Cedar Road,"refused, not interested #77",,follow-up: completed #77,,
2986 Pine Court,"refused, not interested #78",2026-07-16,,,
3023 Elm Terrace,"gated, inaccessible #79",,,,
3060 Birch Avenue,vacant property #80,,,,
3097 Walnut Drive,"no answer, left flier #81",,,,"unit 1, side entrance"
3134 Ash Place,"no answer, left flier #82",,,,
3171 Willow Street,"not home, no response #83",,,,
3208 Chestnut Lane,"not home, no response #84",2026-04-22,,,
3245 Poplar Way,callback scheduled #85,,,,
3282 Juniper Boulevard,completed survey #86,,,,
3319 Sycamore Road,completed survey #87,,,,
3356 Magnolia Court,completed survey #88,,follow-up: completed #88,,
3393 Hickory Terrace,completed survey #89,,,,
3430 Maple Avenue,completed survey #90,2026-01-10,,,"unit 10, side entrance"
3467 Oak Drive,"gave QR code, will complete online #91",,,,
3504 Cedar Place,"refused, not interested #92",,,,
3541 Pine Street,"gated, inaccessible #93",,,,
3578 Elm Lane,vacant property #94,,,,
3615 Birch Way,"no answer, left flier #95",,,,
3652 Walnut Boulevard,"no answer, left flier #96",2026-07-16,,,
3689 Ash Road,"no answer, left flier #97",,,,
3726 Willow Court,"not home, no response #98",,,,
3763 Chestnut Terrace,,,,,"unit 19, side entrance"
3800 Poplar Avenue,completed survey #100,,,,
3837 Juniper Drive,completed survey #101,,,,
3874 Sycamore Place,completed survey #102,2026-04-22,,,
3911 Magnolia Street,completed survey #103,,,,
3948 Hickory Lane,completed survey #104,,,,
3985 Maple Way,"gave QR code, will complete online #105",,,,
4022 Oak Boulevard,"refused, not interested #106",,,,
4059 Cedar Road,"refused, not interested #107",,,,
4096 Pine Court,"gated, inaccessible #108",2026-01-10,,,"unit 28, side entrance"
4133 Elm Terrace,vacant property #109,,,,
4170 Birch Avenue,"no answer, left flier #110",,follow-up: completed #110,,
4207 Walnut Drive,"no answer, left flier #111",,,,
4244 Ash Place,"not home, no response #112",,,,
4281 Willow Street,,,,,
4318 Chestnut Lane,completed survey #114,2026-07-16,,,
4355 Poplar Way,completed survey #115,,,,
4392 Juniper Boulevard,completed survey #116,,,,
4429 Sycamore Road,completed survey #117,,,,"unit 37, side entrance"
4466 Magnolia Court,completed survey #118,,,,
4503 Hickory Terrace,"gave QR code, will complete online #119",,,,
4540 Maple Avenue,"refused, not interested #120",2026-04-22,,,
4577 Oak Drive,"refused, not interested #121",,follow-up: completed #121,,
4614 Cedar Place,"gated, inaccessible #122",,,,
4651 Pine Street,vacant property #123,,,,
4688 Elm Lane,"no answer, left flier #124",,,,
4725 Birch Way,"no answer, left flier #125",,,,
4762 Walnut Boulevard,"not home, no response #126",2026-01-10,,,"unit 6, side entrance"
4799 Ash Road,"not home, no response #127",,,,
4836 Willow Court,callback scheduled #128,,,,
4873 Chestnut Terrace,completed survey #129,,,,
4910 Poplar Avenue,completed survey #130,,,,
4947 Juniper Drive,completed survey #131,,,,
4984 Sycamore Place,completed survey #132,2026-07-16,follow-up: completed #132,,
5021 Magnolia Street,"gave QR code, will complete online #133",,,,
5058 Hickory Lane,"gave QR code, will complete online #134",,,,
5095 Maple Way,"refused, not interested #135",,,,"unit 15, side entrance"
5132 Oak Boulevard,"gated, inaccessible #136",,,,
5169 Cedar Road,vacant property #137,,,,
5206 Pine Court,"no answer, left flier #138",2026-04-22,,,
5243 Elm Terrace,"no answer, left flier #139",,,,
5280 Birch Avenue,"not home, no response #140",,,,
5317 Walnut Drive,"not home, no response #141",,,,
5354 Ash Place,callback scheduled #142,,,,
5391 Willow Street,completed survey #143,,follow-up: completed #143,,
5428 Chestnut Lane,completed survey #144,2026-01-10,,,"unit 24, side entrance"
5465 Poplar Way,completed survey #145,,,,
5502 Juniper Boulevard,completed survey #146,,,,
5539 Sycamore Road,completed survey #147,,,,
5576 Magnolia Court,"gave QR code, will complete online #148",,,,
5613 Hickory Terrace,"refused, not interested #149",,,,
5650 Maple Avenue,"refused, not interested #150",2026-07-16,,,
5687 Oak Drive,"gated, inaccessible #151",,,,
5724 Cedar Place,"no answer, left flier #152",,,,
5761 Pine Street,"no answer, left flier #153",,,,"unit 33, side entrance"
5798 Elm Lane,"no answer, left flier #154",,follow-up: completed #154,,
5835 Birch Way,"not home, no response #155",,,,
5872 Walnut Boulevard,,2026-04-22,,,
5909 Ash Road,completed survey #157,,,,
5946 Willow Court,completed survey #158,,,,
5983 Chestnut Terrace,completed survey #159,,,,
6020 Poplar Avenue,completed survey #160,,,,
6057 Juniper Drive,completed survey #161,,,,
6094 Sycamore Place,"gave QR code, will complete online #162",2026-01-10,,,"unit 2, side entrance"
6131 Magnolia Street,"refused, not interested #163",,,,
6168 Hickory Lane,"refused, not interested #164",,,,
6205 Maple Way,"gated, inaccessible #165",,follow-up: completed #165,,
6242 Oak Boulevard,vacant property #166,,,,
6279 Cedar Road,"no answer, left flier #167",,,,
6316 Pine Court,"no answer, left flier #168",2026-07-16,,,
6353 Elm Terrace,"not home, no response #169",,,,
6390 Birch Avenue,,,,,
6427 Walnut Drive,completed survey #171,,,,"unit 11, side entrance"
6464 Ash Place,completed survey #172,,,,
6501 Willow Street,completed survey #173,,,,
6538 Chestnut Lane,completed survey #174,2026-04-22,,,
6575 Poplar Way,completed survey #175,,,,
6612 Juniper Boulevard,"gave QR code, will complete online #176",,follow-up: completed #176,,
6649 Sycamore Road,"refused, not interested #177",,,,
6686 Magnolia Court,"refused, not interested #178",,,,
6723 Hickory Terrace,"gated, inaccessible #179",,,,
6760 Maple Avenue,vacant property #180,2026-01-10,,,"unit 20, side entrance"
6797 Oak Drive,"no answer, left flier #181",,,,
6834 Cedar Place,"no answer, left flier #182",,,,
6871 Pine Street,"not home, no response #183",,,,
6908 Elm Lane,"not home, no response #184",,,,
6945 Birch Way,callback scheduled #185,,,,
6982 Walnut Boulevard,completed survey #186,2026-07-16,,,
7019 Ash Road,completed survey #187,,follow-up: completed #187,,
7056 Willow Court,completed survey #188,,,,
7093 Chestnut Terrace,completed survey #189,,,,"unit 29, side entrance"
7130 Poplar Avenue,completed survey #190,,,,
7167 Juniper Drive,"gave QR code, will complete online #191",,,,
7204 Sycamore Place,"refused, not interested #192",2026-04-22,,,
7241 Magnolia Street,"gated, inaccessible #193",,,,
7278 Hickory Lane,vacant property #194,,,,
7315 Maple Way,"no answer, left flier #195",,,,
7352 Oak Boulevard,"no answer, left flier #196",,,,
7389 Cedar Road,"no answer, left flier #197",,,,
7426 Pine Court,"not home, no response #198",2026-01-10,follow-up: completed #198,,"unit 38, side entrance"
7463 Elm Terrace,,,,,
7500 Birch Avenue,completed survey #200,,,,
7537 Walnut Drive,completed survey #201,,,,
7574 Ash Place,completed survey #202,,,,
7611 Willow Street,completed survey #203,,,,
7648 Chestnut Lane,completed survey #204,2026-07-16,,,
7685 Poplar Way,"gave QR code, will complete online #205",,,,
7722 Juniper Boulevard,"refused, not interested #206",,,,
7759 Sycamore Road,"refused, not interested #207",,,,"unit 7, side entrance"
7796 Magnolia Court,"gated, inaccessible #208",,,,
7833 Hickory Terrace,vacant property #209,,follow-up: completed #209,,
7870 Maple Avenue,"no answer, left flier #210",2026-04-22,,,
7907 Oak Drive,"no answer, left flier #211",,,,
7944 Cedar Place,"not home, no response #212",,,,
7981 Pine Street,,,,,
8018 Elm Lane,completed survey #214,,,,
8055 Birch Way,completed survey #215,,,,
8092 Walnut Boulevard,completed survey #216,2026-01-10,,,"unit 16, side entrance"
8129 Ash Road,completed survey #217,,,,
8166 Willow Court,completed survey #218,,,,
8203 Chestnut Terrace,"gave QR code, will complete online #219",,,,
8240 Poplar Avenue,"refused, not interested #220",,follow-up: completed #220,,
8277 Juniper Drive,"refused, not interested #221",,,,
8314 Sycamore Place,"gated, inaccessible #222",2026-07-16,,,
8351 Magnolia Street,vacant property #223,,,,
8388 Hickory Lane,"no answer, left flier #224",,,,
8425 Maple Way,"no answer, left flier #225",,,,"unit 25, side entrance"
8462 Oak Boulevard,"not home, no response #226",,,,
8499 Cedar Road,"not home, no response #227",,,,
8536 Pine Court,callback scheduled #228,2026-04-22,,,
8573 Elm Terrace,completed survey #229,,,,
8610 Birch Avenue,completed survey #230,,,,
8647 Walnut Drive,completed survey #231,,follow-up: completed #231,,
8684 Ash Place,completed survey #232,,,,
8721 Willow Street,"gave QR code, will complete online #233",,,,
8758 Chestnut Lane,"gave QR code, will complete online #234",2026-01-10,,,"unit 34, side entrance"
8795 Poplar Way,"refused, not interested #235",,,,
8832 Juniper Boulevard,"gated, inaccessible #236",,,,
8869 Sycamore Road,vacant property #237,,,,
8906 Magnolia Court,"no answer, left flier #238",,,,
8943 Hickory Terrace,"no answer, left flier #239",,,,
8980 Maple Avenue,"not home, no response #240",2026-07-16,,,
117 Oak Drive,"not home, no response #241",,,,
154 Cedar Place,callback scheduled #242,,follow-up: completed #242,,
191 Pine Street,completed survey #243,,,,"unit 3, side entrance"
228 Elm Lane,completed survey #244,,,,
265 Birch Way,completed survey #245,,,,
302 Walnut Boulevard,completed survey #246,2026-04-22,,,
339 Ash Road,completed survey #247,,,,
376 Willow Court,"gave QR code, will complete online #248",,,,
413 Chestnut Terrace,"refused, not interested #249",,,,
450 Poplar Avenue,"refused, not interested #250",,,,
487 Juniper Drive,"gated, inaccessible #251",,,,
524 Sycamore Place,"no answer, left flier #252",2026-01-10,,,"unit 12, side entrance"
561 Magnolia Street,"no answer, left flier #253",,follow-up: completed #253,,
598 Hickory Lane,"no answer, left flier #254",,,,
635 Maple Way,"not home, no response #255",,,,
672 Oak Boulevard,,,,,
709 Cedar Road,completed survey #257,,,,
746 Pine Court,completed survey #258,2026-07-16,,,
783 Elm Terrace,completed survey #259,,,,
820 Birch Avenue,completed survey #260,,,,
857 Walnut Drive,completed survey #261,,,,"unit 21, side entrance"
894 Ash Place,"gave QR code, will complete online #262",,,,
931 Willow Street,"refused, not interested #263",,,,
968 Chestnut Lane,"refused, not interested #264",2026-04-22,follow-up: completed #264,,
1005 Poplar Way,"gated, inaccessible #265",,,,
1042 Juniper Boulevard,vacant property #266,,,,
1079 Sycamore Road,"no answer, left flier #267",,,,
1116 Magnolia Court,"no answer, left flier #268",,,,
1153 Hickory Terrace,"not home, no response #269",,,,
1190 Maple Avenue,,2026-01-10,,,"unit 30, side entrance"
1227 Oak Drive,completed survey #271,,,,
1264 Cedar Place,completed survey #272,,,,
1301 Pine Street,completed survey #273,,,,
1338 Elm Lane,completed survey #274,,,,
1375 Birch Way,completed survey #275,,follow-up: completed #275,,
1412 Walnut Boulevard,"gave QR code, will complete online #276",2026-07-16,,,
1449 Ash Road,"refused, not interested #277",,,,
1486 Willow Court,"refused, not interested #278",,,,
1523 Chestnut Terrace,"gated, inaccessible #279",,,,"unit 39, side entrance"
1560 Poplar Avenue,vacant property #280,,,,
1597 Juniper Drive,"no answer, left flier #281",,,,
1634 Sycamore Place,"no answer, left flier #282",2026-04-22,,,
1671 Magnolia Street,"not home, no response #283",,,,
1708 Hickory Lane,"not home, no response #284",,,,
1745 Maple Way,callback scheduled #285,,,,
1782 Oak Boulevard,completed survey #286,,follow-up: completed #286,,
1819 Cedar Road,completed survey #287,,,,
1856 Pine Court,completed survey #288,2026-01-10,,,"unit 8, side entrance"
1893 Elm Terrace,completed survey #289,,,,
1930 Birch Avenue,completed survey #290,,,,
1967 Walnut Drive,"gave QR code, will complete online #291",,,,
2004 Ash Place,"refused, not interested #292",,,,
2041 Willow Street,"gated, inaccessible #293",,,,
2078 Chestnut Lane,vacant property #294,2026-07-16,,,
2115 Poplar Way,"no answer, left flier #295",,,,
2152 Juniper Boulevard,"no answer, left flier #296",,,,
2189 Sycamore Road,"no answer, left flier #297",,follow-up: completed #297,,"unit 17, side entrance"
2226 Magnolia Court,"not home, no response #298",,,,
2263 Hickory Terrace,,,,,
2300 Maple Avenue,completed survey #300,2026-04-22,,,
2337 Oak Drive,completed survey #301,,,,
2374 Cedar Place,completed survey #302,,,,
2411 Pine Street,completed survey #303,,,,
2448 Elm Lane,completed survey #304,,,,
2485 Birch Way,"gave QR code, will complete online #305",,,,
2522 Walnut Boulevard,"refused, not interested #306",2026-01-10,,,"unit 26, side entrance"
2559 Ash Road,"refused, not interested #307",,,,
2596 Willow Court,"gated, inaccessible #308",,follow-up: completed #308,,
2633 Chestnut Terrace,vacant property #309,,,,
2670 Poplar Avenue,"no answer, left flier #310",,,,
2707 Juniper Drive,"no answer, left flier #311",,,,
2744 Sycamore Place,"not home, no response #312",2026-07-16,,,
2781 Magnolia Street,,,,,
2818 Hickory Lane,completed survey #314,,,,
2855 Maple Way,completed survey #315,,,,"unit 35, side entrance"
2892 Oak Boulevard,completed survey #316,,,,
